id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,Image5,chart_link
104,SRK0107GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,36,14,13,Mineral,-,-0.0385495,101.404664500000,"56,81132987","0,035",,,,Adep,10/01/2021 9:25,50000,"878,53",-,Approach 5,media/SRK_1_104.jpg,media/SRK_2_104.jpg,media/SRK_3_104.jpg,media/SRK_4_104.jpg,adopsipohonriau/104,
105,SRK0108GS,Pasir-Pasir,Guettarda speciosa,Pohon Muda,icon/young_tree.svg,Least Concern,7,6,13,Mineral,-,-0.0388196,101.404649500000,"63,48228034","0,035",,,,Adep,10/01/2021 9:40,50000,"26,5",-,Approach 5,media/SRK_1_105.jpg,media/SRK_2_105.jpg,media/SRK_3_105.jpg,media/SRK_4_105.jpg,adopsipohonriau/105,
106,SRK0109GS,Meranti Putih,Shorea javanica,Pohon Muda,icon/young_tree.svg,Endangered,24,14,13,Mineral,-,-0.0388338,101.404870000000,"26,56253928","0,035",,,,Adek Lphd,10/01/2021 9:43,50000,"580,93",-,Approach 5,media/SRK_1_106.jpg,media/SRK_2_106.jpg,media/SRK_3_106.jpg,media/SRK_4_106.jpg,adopsipohonriau/106,
107,SRK0110GS,Meranti Putih,Shorea javanica,Pohon Muda,icon/young_tree.svg,Endangered,10,10,13,Mineral,-,-0.0387859,101.404774200000,"52,01447364","0,035",,,,Adek Lphd,10/01/2021 9:50,50000,"75,74",-,Approach 5,media/SRK_1_107.jpg,media/SRK_2_107.jpg,media/SRK_3_107.jpg,media/SRK_4_107.jpg,adopsipohonriau/107,
108,SRK0111GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,8,6,13,Mineral,-,-0.0387853,101.404783800000,"46,89597075","0,035",,,,Adek Lphd,10/01/2021 10:00,50000,"31,55",-,Approach 5,media/SRK_1_108.jpg,media/SRK_2_108.jpg,media/SRK_3_108.jpg,media/SRK_4_108.jpg,adopsipohonriau/108,
109,SRK0112GS,Pasir-Pasir,Guettarda speciosa,Pohon Muda,icon/young_tree.svg,Least Concern,33,16,13,Mineral,-,-0.0387682,101.404767900000,"51,57677406","0,035",,,,Adek Lphd,10/01/2021 10:10,50000,"1423,9",-,Approach 5,media/SRK_1_109.jpg,media/SRK_2_109.jpg,media/SRK_3_109.jpg,media/SRK_4_109.jpg,adopsipohonriau/109,
110,SRK0113GS,Kedondong,Spondias dulcis,Pohon Muda,icon/young_tree.svg,-,27,18,13,Mineral,-,-0.0385645,101.404829900000,"51,9051345","0,035",,,,Adep Lphd,10/01/2021 10:15,50000,"521,54",-,Approach 5,media/SRK_1_110.jpg,media/SRK_2_110.jpg,media/SRK_3_110.jpg,media/SRK_4_110.jpg,adopsipohonriau/110,
111,SRK0114GS,Medang,Alseodaphne sp,Pohon Muda,icon/young_tree.svg,Vulnerable,18,14,13,Mineral,-,-0.0385797,101.404922100000,"37,91081127","0,036",,,,Adep,10/01/2021 10:25,50000,"346,15",-,Approach 5,media/SRK_1_111.jpg,media/SRK_2_111.jpg,media/SRK_3_111.jpg,media/SRK_4_111.jpg,adopsipohonriau/111,
112,SRK0115GS,Ambacang,Mangifera foetida,Pohon Muda,icon/young_tree.svg,Least Concern,25,10,13,Mineral,-,-0.0386314,101.404863800000,"61,85087646","0,035",,,,Adep Lphd,10/01/2021 10:30,50000,"469,72",-,Approach 5,media/SRK_1_112.jpg,media/SRK_2_112.jpg,media/SRK_3_112.jpg,media/SRK_4_112.jpg,adopsipohonriau/112,
113,SRK0116GS,Medang Kuning,Alseodaphne umbelliflora,Pohon Muda,icon/young_tree.svg,Least Concern,22,12,13,Mineral,-,-0.0386714,101.404945600000,"59,72016629","0,036",,,,Adep Lphd,10/01/2021 10:45,50000,"440,59",-,Approach 5,media/SRK_1_113.jpg,media/SRK_2_113.jpg,media/SRK_3_113.jpg,media/SRK_4_113.jpg,adopsipohonriau/113,
114,SRK0117GS,Pasir-Pasir,Guettarda speciosa,Pohon Muda,icon/young_tree.svg,Least Concern,28,13,13,Mineral,-,-0.0387213,101.404987300000,"66,7869897","0,036",,,,Adep Lphd,10/01/2021 10:55,50000,"843,69",-,Approach 5,media/SRK_1_114.jpg,media/SRK_2_114.jpg,media/SRK_3_114.jpg,media/SRK_4_114.jpg,adopsipohonriau/114,
115,SRK0118GS,Sendok-Sendok,Endospermum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,20,13,Mineral,-,-0.0385325,101.404898700000,"72,07817644","0,036",,,,Adep Lphd,10/01/2021 11:05,200000,"1529,51",-,Approach 5,media/SRK_1_115.jpg,media/SRK_2_115.jpg,media/SRK_3_115.jpg,media/SRK_4_115.jpg,adopsipohonriau/115,
116,SRK0119GS,Pulai,Alstonia spp,Pohon Muda,icon/young_tree.svg,Least Concern,34,18,13,Mineral,-,-0.0385402,101.404724800000,"71,17183059","0,035",,,,Adep Lphd,10/01/2021 11:13,50000,"1147,35",-,Approach 5,media/SRK_1_116.jpg,media/SRK_2_116.jpg,media/SRK_3_116.jpg,media/SRK_4_116.jpg,adopsipohonriau/116,
117,SRK0120GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,23,17,13,Mineral,-,-0.0384836,101.404779300000,"69,13008468","0,035",,,,Adep Lphd,10/01/2021 11:24,50000,"442,83",-,Approach 5,media/SRK_1_117.jpg,media/SRK_2_117.jpg,media/SRK_3_117.jpg,media/SRK_4_117.jpg,adopsipohonriau/117,
118,SRK0121GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,25,17,13,Mineral,-,-0.038412,101.4047912,"54,91096353","0,035",,,,Adep Lphd,10/01/2021 11:30,50000,"521,11",-,Approach 5,media/SRK_1_118.jpg,media/SRK_2_118.jpg,media/SRK_3_118.jpg,media/SRK_4_118.jpg,adopsipohonriau/118,
119,SRK0122GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,30,19,13,Mineral,-,-0.0384917,101.404674200000,"44,48874951","0,035",,,,Adep Lphd,10/01/2021 11:36,50000,"829,15",-,Approach 5,media/SRK_1_119.jpg,media/SRK_2_119.jpg,media/SRK_3_119.jpg,media/SRK_4_119.jpg,adopsipohonriau/119,
120,SRK0123GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,27,20,13,Mineral,-,-0.0382798,101.404702200000,"71,17602753","0,035",,,,Adep Lphd,10/01/2021 11:43,50000,"709,67",-,Approach 5,media/SRK_1_120.jpg,media/SRK_2_120.jpg,media/SRK_3_120.jpg,media/SRK_4_120.jpg,adopsipohonriau/120,
121,SRK0124GS,Meranti,Shorea sp,Pohon Dewasa,icon/mature_tree.svg,-,43,23,13,Mineral,-,-0.0385218,101.404906200000,"63,23795053","0,036",,,,Adep Lphd,10/01/2021 11:47,200000,"3120,89",-,Approach 5,media/SRK_1_121.jpg,media/SRK_2_121.jpg,media/SRK_3_121.jpg,media/SRK_4_121.jpg,adopsipohonriau/121,
122,SRK0125GS,Mendarahan,Myristica iners,Pohon Muda,icon/young_tree.svg,Least Concern,21,18,13,Mineral,-,-0.0382956,101.404947900000,"29,41645955","0,036",,,,Adep Lphd,10/01/2021 11:52,50000,"494,05",-,Approach 5,media/SRK_1_122.jpg,media/SRK_2_122.jpg,media/SRK_3_122.jpg,media/SRK_4_122.jpg,adopsipohonriau/122,
123,SRK0126GS,Mempening,Quercus argentata,Pohon Muda,icon/young_tree.svg,Least Concern,20,15,13,Mineral,-,-0.0383261,101.404986400000,"68,4393175","0,036",,,,Adep Lphd,09/01/2021 13:35,50000,"602,42",-,Approach 5,media/SRK_1_123.jpg,media/SRK_2_123.jpg,media/SRK_3_123.jpg,media/SRK_4_123.jpg,adopsipohonriau/123,
124,SRK0127GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,11,14,13,Mineral,-,-0.0383518,101.404966500000,"50,97841415","0,036",,,,Adep Lphd,10/01/2021 13:45,50000,"134,31",-,Approach 5,media/SRK_1_124.jpg,media/SRK_2_124.jpg,media/SRK_3_124.jpg,media/SRK_4_124.jpg,adopsipohonriau/124,
125,SRK0128GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,31,20,13,Mineral,-,-0.0383886,101.405024400000,"71,29885097","0,036",,,,Adep Lphd,10/01/2021 13:53,50000,"929,34",-,Approach 5,media/SRK_1_125.jpg,media/SRK_2_125.jpg,media/SRK_3_125.jpg,media/SRK_4_125.jpg,adopsipohonriau/125,
126,SRK0129GS,Mempening,Quercus argentata,Pohon Muda,icon/young_tree.svg,Least Concern,19,14,13,Mineral,-,-0.0383204,101.405046800000,"71,47527824","0,036",,,,Adep Lphd,10/01/2021 15:11,50000,"509,53",-,Approach 5,media/SRK_1_126.jpg,media/SRK_2_126.jpg,media/SRK_3_126.jpg,media/SRK_4_126.jpg,adopsipohonriau/126,
127,SRK0130GS,Jangkang,Sterculia foetida,Pohon Muda,icon/young_tree.svg,-,9,8,13,Mineral,-,-0.0381179,101.404806500000,"64,32564281","0,036",,,,Adep Lphd,10/01/2021 14:19,50000,"46,1",-,Approach 5,media/SRK_1_127.jpg,media/SRK_2_127.jpg,media/SRK_3_127.jpg,media/SRK_4_127.jpg,adopsipohonriau/127,
