kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
SRK0128GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,31,20,13,Mineral,-,-0.0383886,101.4050244,71.298850967782,0.03571500257,,,,Adep Lphd,01/10/2021 13:53:00,50000,929.3391174,-,Approach 5,media/SRK_1_125.jpg,media/SRK_2_125.jpg,media/SRK_3_125.jpg,media/SRK_4_125.jpg,adopsipohonriau/125
SRK0129GS,Mempening,Quercus argentata,PohonMuda,icon/young_tree.svg,Least Concern,19,14,13,Mineral,-,-0.0383204,101.4050468,71.475278236883,0.03575366773,,,,Adep Lphd,01/10/2021 15:11:00,50000,509.5313537,-,Approach 5,media/SRK_1_126.jpg,media/SRK_2_126.jpg,media/SRK_3_126.jpg,media/SRK_4_126.jpg,adopsipohonriau/126
SRK0130GS,Jangkang,Sterculia foetida ,PohonMuda,icon/young_tree.svg,-,9,8,13,Mineral,-,-0.0381179,101.4048065,64.325642813454,0.03557245014,,,,Adep Lphd,01/10/2021 14:19:00,50000,46.10088155,-,Approach 5,media/SRK_1_127.jpg,media/SRK_2_127.jpg,media/SRK_3_127.jpg,media/SRK_4_127.jpg,adopsipohonriau/127
SRK0131GS,Ridan,Nephelium mangayi,PohonMuda,icon/young_tree.svg,-,27,20,13,Mineral,-,-0.0380028,101.4047925,36.810103459127,0.03558863951,,,,Adep Lphd,01/10/2021 14:25:00,50000,493.4377033,-,Approach 5,media/SRK_1_128.jpg,media/SRK_2_128.jpg,media/SRK_3_128.jpg,media/SRK_4_128.jpg,adopsipohonriau/128
SRK0132GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,9,8,13,Mineral,-,-0.0380174,101.4047718,51.548961257364,0.03556485898,,,,Adep Lphd,01/10/2021 14:54:00,50000,33.98819657,-,Approach 5,media/SRK_1_129.jpg,media/SRK_2_129.jpg,media/SRK_3_129.jpg,media/SRK_4_129.jpg,adopsipohonriau/129
SRK0133GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,11,8,13,Mineral,-,-0.0380018,101.4047939,54.089922987203,0.0355902512,,,,Adep Lphd,01/10/2021 15:16:00,50000,50.28578848,-,Approach 5,media/SRK_1_130.jpg,media/SRK_2_130.jpg,media/SRK_3_130.jpg,media/SRK_4_130.jpg,adopsipohonriau/130
SRK0134GS,Selusui,Cinnamomum spp,PohonMuda,icon/young_tree.svg,Least Concern,10,8,13,Mineral,-,-0.0380002,101.4047856,54.96872751651,0.03558265184,,,,Adep Lphd,01/10/2021 15:23:00,50000,51.31562215,-,Approach 5,media/SRK_1_131.jpg,media/SRK_2_131.jpg,media/SRK_3_131.jpg,media/SRK_4_131.jpg,adopsipohonriau/131
SRK0136GS,Pasir-Pasir,Guettarda speciosa,PohonMuda,icon/young_tree.svg,Least Concern,35,18,13,Mineral,-,-0.0377958,101.4049709,59.695442994699,0.03581500929,,,,Adep Lphd,01/10/2021 15:59:00,50000,1791.786266,-,Approach 5,media/SRK_1_132.jpg,media/SRK_2_132.jpg,media/SRK_3_132.jpg,media/SRK_4_132.jpg,adopsipohonriau/132
SRK0135GS,Medang,Alseodaphne sp,PohonMuda,icon/young_tree.svg,Vulnerable,24,18,13,Mineral,-,-0.037756,101.4048829,71.831234725688,0.03574068273,,,,Adep Lphd,01/10/2021 16:06:00,50000,775.6482514,-,Approach 5,media/SRK_1_133.jpg,media/SRK_2_133.jpg,media/SRK_3_133.jpg,media/SRK_4_133.jpg,adopsipohonriau/133
SRK0137GS,Sendok-Sendok,Endospermum spp,PohonMuda,icon/young_tree.svg,Least Concern,33,20,13,Mineral,-,-0.0378612,101.4049888,77.66012035485,0.03581508258,,,,Adep Lphd,01/10/2021 16:11:00,50000,1001.236357,-,Approach 5,media/SRK_1_134.jpg,media/SRK_2_134.jpg,media/SRK_3_134.jpg,media/SRK_4_134.jpg,adopsipohonriau/134
