id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4
46,SRK0047GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,16,12,13,Mineral,-,-0.0380685,101.404808100000,"12,32200205","0,036",-,-,-,Fahrizal,9/29/2021 12:18,50000,155.22,-,"Chave et al, 2014",media/SRK_3_46.jpg,media/SRK_2_46.jpg,media/SRK_1_46.jpg,media/SRK_4_46.jpg
47,SRK0048GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,20,8,13,Mineral,-,-0.0376632,101.404507200000,"6,842892063","0,035",-,-,-,Fahrizal,9/29/2021 12:20,50000,161.53,-,"Chave et al, 2014",media/SRK_3_47.jpg,media/SRK_2_47.jpg,media/SRK_1_47.jpg,media/SRK_4_47.jpg
48,SRK0049GS,Sendok Sendok,Endospermum spp,Pohon Muda,icon/young_tree.svg,Least Concern,19,7,13,Mineral,-,-0.0376883,101.404487900000,"8,719649445","0,035",-,-,-,Fahrizal,9/29/2021 12:23,50000,122.33,-,"Chave et al, 2014",media/SRK_3_48.jpg,media/SRK_2_48.jpg,media/SRK_1_48.jpg,media/SRK_4_48.jpg
49,SRK0051GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,23,12,13,Mineral,-,-0.0381707,101.404553600000,"60,85265954","0,035",-,-,-,Mardianto,9/30/2021 8:08,50000,315.21,-,"Chave et al, 2014",media/SRK_3_49.jpg,media/SRK_2_49.jpg,media/SRK_1_49.jpg,media/SRK_4_49.jpg
50,SRK0052GS,Rengas,Gluta aptera,Pohon Muda,icon/young_tree.svg,-,30,13,13,Mineral,-,-0.0381012,101.404597300000,"58,17058852","0,035",-,-,-,Okta,9/30/2021 8:18,50000,950.29,-,"Chave et al, 2014",media/SRK_3_50.jpg,media/SRK_2_50.jpg,media/SRK_1_50.jpg,media/SRK_4_50.jpg
51,SRK0053GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,17,10,13,Mineral,-,-0.038099,101.4045751,"60,68452627","0,035",-,-,-,Mardianto,9/30/2021 8:26,50000,146.24,-,"Chave et al, 2014",media/SRK_3_51.jpg,media/SRK_2_51.jpg,media/SRK_1_51.jpg,media/SRK_4_51.jpg
52,SRK0054GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,24,12,13,Mineral,-,-0.0380884,101.404581200000,"59,95038049","0,035",-,-,-,Mardianto,9/30/2021 8:30,50000,342.52,-,"Chave et al, 2014",media/SRK_3_52.jpg,media/SRK_2_52.jpg,media/SRK_1_52.jpg,media/SRK_4_52.jpg
53,SRK0055GS,Meranti,Shorea sp,Pohon Dewasa,icon/mature_tree.svg,-,49,17,13,Mineral,-,-0.0377579,101.404729200000,"68,43870661","0,036",-,-,-,Okta,9/30/2021 8:38,200000,2998.35,-,"Chave et al, 2014",media/SRK_3_53.jpg,media/SRK_2_53.jpg,media/SRK_1_53.jpg,media/SRK_4_53.jpg
54,SRK0056GS,Jangkang,Sterculia foetida,Pohon Muda,icon/young_tree.svg,-,39,15,13,Mineral,-,-0.0385154,101.404566400000,"53,92910223","0,035",-,-,-,Mardianto,9/30/2021 8:52,50000,1490.17,-,"Chave et al, 2014",media/SRK_3_54.jpg,media/SRK_2_54.jpg,media/SRK_1_54.jpg,media/SRK_4_54.jpg
55,SRK0057GS,Jangkang,Sterculia foetida,Pohon Muda,icon/young_tree.svg,-,27,15,13,Mineral,-,-0.0385369,101.404514500000,"57,66235423","0,035",-,-,-,Okta,9/30/2021 8:58,50000,726.94,-,"Chave et al, 2014",media/SRK_3_55.jpg,media/SRK_2_55.jpg,media/SRK_1_55.jpg,media/SRK_4_55.jpg
